Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,label
10.0.2.15,53913,216.58.208.46,80,6,435,0,4597.7011494253,435,0,435,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,259,0,7722.0077220077,259,0,259,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,891,0,2244.6689113356,891,0,891,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,1074,0,1862.1973929237,1074,0,1074,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,315,0,6349.2063492064,315,0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,4841,0,413.1377814501,4841,0,4841,4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,581,0,3442.3407917384,581,0,581,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,906,0,2207.5055187638,906,0,906,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,401,0,4987.5311720698,401,0,401,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,760,0,2631.5789473684,760,0,760,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,53913,216.58.208.46,80,6,4832236,0,0.6208306051,2416118,3416355.30060443,4831846,390,4832236,0,4832236,4832236,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,56931,24.140.134.21,45411,6,73272,0,40.9433344252,36636,51350.0944497671,72946,326,0,0,0,0,72946,0,72946,72946,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,55727,204.83.155.169,32620,6,51872,0,57.8346699568,25936,36488.1241227882,51737,135,0,0,0,0,51737,0,51737,51737,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,38947,70.80.25.101,64982,6,53588,0,55.9826826902,26794,37644.9508168094,53413,175,0,0,0,0,53413,0,53413,53413,0,0,0,0,0,0,0,0,nonTOR
